node_id,label,feat
kmeasure-3c4c0d24-d403-11ec-99ef-00155d8545fd,10006,"0.0149574131804873, 1.0"
kmeasure-3c4bb68a-d403-11ec-8caf-00155d8545fd,10028,"0.153512922353123, 1.0"
kmeasure-3c4c3def-d403-11ec-b542-00155d8545fd,10014,"0.0838594327891802, 1.0"
kmeasure-3c49d1a8-d403-11ec-b9ee-00155d8545fd,10022,"0, 1.0"
kmeasure-3c4f30ad-d403-11ec-a60f-00155d8545fd,10024,"0.00803985892437347, 1.0"
kmeasure-3c4ee5e5-d403-11ec-ad14-00155d8545fd,10032,"0, 1.0"
kmeasure-3c4beb1d-d403-11ec-9128-00155d8545fd,10006,"0.00131996921125867, 1.0"
kmeasure-3c4a4f5c-d403-11ec-8202-00155d8545fd,10011,"0.0581123790482285, 1.0"
kmeasure-3c4dba22-d403-11ec-b7c0-00155d8545fd,10029,"0.0082132241351064, 1.0"
kmeasure-3c4d9b94-d403-11ec-b2a7-00155d8545fd,10029,"0, 1.0"
kmeasure-3c4b6c42-d403-11ec-86ee-00155d8545fd,10015,"0.00101511593281037, 1.0"
kmeasure-3c503540-d403-11ec-aec7-00155d8545fd,10017,"0, 1.0"
kmeasure-3c4c5a97-d403-11ec-85b9-00155d8545fd,10014,"0.0816711909947996, 1.0"
kmeasure-3c4c03d7-d403-11ec-b57c-00155d8545fd,10006,"0.0189343983987272, 1.0"
kmeasure-3c4be7da-d403-11ec-8d6b-00155d8545fd,10006,"0.00639113167610336, 1.0"
kmeasure-3c505060-d403-11ec-811d-00155d8545fd,10021,"0.0195692729343051, 1.0"
kmeasure-3c4f7254-d403-11ec-8357-00155d8545fd,10020,"0, 1.0"
kmeasure-3c4ed1df-d403-11ec-93c7-00155d8545fd,10032,"0, 1.0"
kmeasure-3c4e6acf-d403-11ec-811a-00155d8545fd,10002,"0, 1.0"
kmeasure-3c4d0e36-d403-11ec-9718-00155d8545fd,10007,"0.0160018416711595, 1.0"
kmeasure-3c4b8e59-d403-11ec-bb22-00155d8545fd,10015,"0.000413091833851592, 1.0"
kmeasure-3c4c49a1-d403-11ec-9cbf-00155d8545fd,10014,"0.0508775299433134, 1.0"
kmeasure-3c4a5cd2-d403-11ec-9843-00155d8545fd,10011,"0.167402136037433, 1.0"
kmeasure-3c4b9465-d403-11ec-b7b7-00155d8545fd,10015,"0.000241099983295715, 1.0"
kmeasure-3c4af987-d403-11ec-a4c3-00155d8545fd,10026,"0.00961808978766777, 1.0"
kmeasure-3c4d4b7b-d403-11ec-a1d1-00155d8545fd,10030,"0.067849591206052, 1.0"
kmeasure-3c4e00bc-d403-11ec-a32e-00155d8545fd,10005,"0.0241747198610272, 1.0"
kmeasure-3c4d4163-d403-11ec-b845-00155d8545fd,10030,"0.0163799513632483, 1.0"
kmeasure-3c4e2226-d403-11ec-8d8c-00155d8545fd,10019,"0.0867125168835456, 1.0"
kmeasure-3c4ef4f2-d403-11ec-ad41-00155d8545fd,10018,"0.0312287590802635, 1.0"
kmeasure-3c4e956e-d403-11ec-9b51-00155d8545fd,10008,"0.00105700612368077, 1.0"
kmeasure-3c4d4774-d403-11ec-9672-00155d8545fd,10030,"0.0693270288541979, 1.0"
kmeasure-3c4d2de9-d403-11ec-9ab7-00155d8545fd,10030,"0.0135374167841059, 1.0"
kmeasure-3c4d7634-d403-11ec-b96c-00155d8545fd,10004,"0, 1.0"
kmeasure-3c4a1701-d403-11ec-b8b4-00155d8545fd,10027,"0, 1.0"
kmeasure-3c4d310c-d403-11ec-9790-00155d8545fd,10030,"0.0140263781535948, 1.0"
kmeasure-3c4d20c4-d403-11ec-a31f-00155d8545fd,10007,"0.0812279031014455, 1.0"
kmeasure-3c4e22a7-d403-11ec-9630-00155d8545fd,10019,"0.0248716244198921, 1.0"
kmeasure-3c4db800-d403-11ec-b9b0-00155d8545fd,10029,"0.00856493379805925, 1.0"
kmeasure-3c4dc499-d403-11ec-9e16-00155d8545fd,10029,"0, 1.0"
kmeasure-3c4ac340-d403-11ec-b13a-00155d8545fd,10001,"0.000713292367212224, 1.0"
kmeasure-3c4c4308-d403-11ec-b463-00155d8545fd,10014,"0.019072635601959, 1.0"
kmeasure-3c4c1728-d403-11ec-964a-00155d8545fd,10006,"0.00546127417794791, 1.0"
kmeasure-3c4ef88b-d403-11ec-97c0-00155d8545fd,10018,"0.0443153964999736, 1.0"
kmeasure-3c4af4d7-d403-11ec-bf76-00155d8545fd,10026,"0.0101540061142152, 1.0"
kmeasure-3c4f1e0c-d403-11ec-8b39-00155d8545fd,10018,"0.086775758517791, 1.0"
kmeasure-3c50a1f1-d403-11ec-8f94-00155d8545fd,10016,"0.0489504100958719, 1.0"
kmeasure-3c4db5df-d403-11ec-836a-00155d8545fd,10029,"0, 1.0"
kmeasure-3c49e689-d403-11ec-a6c6-00155d8545fd,10022,"0, 1.0"
kmeasure-3c4a12c3-d403-11ec-8747-00155d8545fd,10027,"0.000738821728453689, 1.0"
kmeasure-3c4e7aff-d403-11ec-a506-00155d8545fd,10002,"0, 1.0"
kmeasure-3c4b0217-d403-11ec-8e95-00155d8545fd,10026,"0.00244173123951326, 1.0"
kmeasure-3c4f61c3-d403-11ec-a738-00155d8545fd,10024,"0, 1.0"
