id,source_id,target_id
relationship--651225d6-5454-4c44-8d62-776bd7ddaed2,course-of-action--12241367-a8b7-49b4-b86e-2236901ba50c,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
relationship--32d482c4-2c0d-4688-a38b-d73b5b2962a3,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
relationship--72de6e56-e5d1-4a3f-aa85-d7155f7ff42c,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--4fd3ec25-00ed-48c1-af72-e2523959860e,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--60151204-5c0c-4d18-8582-4d0fad22ed08,course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--185c194a-5823-46e4-9719-9de48c3c1734,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--6db4729b-596c-43c1-81f4-d374a2f2e06b,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--799ace7f-e227-4411-baa0-8868704f2a69
relationship--53a95297-1cce-401c-99a3-34079e878fac,course-of-action--d2a24649-9694-4c97-9c62-ce7b270bf6a3,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
relationship--4c308ec1-f0c6-4444-af7d-ff045204c326,course-of-action--15437c6d-b998-4a36-be41-4ace3d54d266,attack-pattern--3f886f2a-874f-4333-b794-aa6075009b1c
relationship--9eaaffb7-4dc4-4aac-a1d5-675b71e587df,course-of-action--1dcaeb21-9348-42ea-950a-f842aaf1ae1f,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
relationship--8df2f4b5-3f60-4b8f-b4aa-dd76eb347ab0,course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
relationship--9aaf5e70-4080-4f73-8d6d-3b19f754e9b9,course-of-action--eb88d97c-32f1-40be-80f0-d61a4b0b4b31,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
relationship--e23d57b4-5bc4-4d06-9084-9c99464c4af8,course-of-action--b045d015-6bed-4490-bd38-56b41ece59a0,attack-pattern--10d51417-ee35-4589-b1ff-b6df1c334e8d
relationship--eb5ade8c-73e9-4b69-9dea-c8a8206dec25,course-of-action--47e0e9fe-96ce-4f65-8bb1-8be1feacb5db,attack-pattern--42e8de7b-37b2-4258-905a-6897815e58e0
relationship--80f94d40-0861-4403-b206-1c864a136788,course-of-action--86598de0-b347-4928-9eb0-0acbfc21908c,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88
relationship--91e941a6-64bd-42ab-94f9-aa0e90f132ff,course-of-action--f2cb6ce2-188d-4162-8feb-594f949b13dd,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--8f09085f-c1cf-4321-89c4-17d93e774f6f,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--63c9cdd8-0e64-46dd-9459-3d64828b0cc7,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--9d4e8b44-90f8-4a10-8419-8187d4babf24,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--1d50b715-96a2-4fd6-bf92-603ad90730fd,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--35dd844a-b219-4e2b-a6bb-efa9a75995a9
relationship--f7a8b397-ecf3-456e-a395-568a41048609,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--4fd8a28b-4b3a-4cd6-a8cf-85ba5f824a7f
relationship--8dfdc783-d869-498b-b4e0-1d75b30e2d67,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--4fd8a28b-4b3a-4cd6-a8cf-85ba5f824a7f
relationship--c8acdf40-8237-487f-8255-91afa327705d,course-of-action--25dc1ce8-eb55-4333-ae30-a7cb4f5894a1,attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81
relationship--24e20a3c-5f74-40bc-a5b0-108bc0233305,course-of-action--590777b3-b475-4c7c-aaf8-f4a73b140312,attack-pattern--4fd8a28b-4b3a-4cd6-a8cf-85ba5f824a7f
relationship--be34e043-48a0-4192-a877-e8520a2800cc,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--f3d95a1f-bba2-44ce-9af7-37866cd63fd0
relationship--e23ce4ac-b82c-4af1-9545-2bb237a03ed1,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--f3d95a1f-bba2-44ce-9af7-37866cd63fd0
relationship--1fdd8726-606a-482d-b371-044eea79be29,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,attack-pattern--f3d95a1f-bba2-44ce-9af7-37866cd63fd0
relationship--3e76b11e-8a9e-4300-b9d4-8cbd8e8bb37f,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--f3d95a1f-bba2-44ce-9af7-37866cd63fd0
relationship--9fad01af-77b7-44b2-a3fc-0a7b338b9ace,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
relationship--00b0b6ec-a9eb-4fdd-b7ea-6e6c8a8ab1fc,course-of-action--9bb9e696-bff8-4ae1-9454-961fc7d91d5f,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
relationship--eccad76f-c5fa-46db-9ccb-5a9ebcada28e,course-of-action--2f316f6c-ae42-44fe-adf8-150989e0f6d3,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
relationship--b562272b-db14-45e4-8ff2-3eafb2db5179,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--005a06c6-14bf-4118-afa0-ebcd8aebb0c9
relationship--0bd4bdb8-1687-4421-bdfd-8c122c7df07c,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--6636bc83-0611-45a6-b74f-1f3daf635b8e
relationship--2874fcb6-7c74-4192-aa53-7d2a9d9e4705,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--6636bc83-0611-45a6-b74f-1f3daf635b8e
relationship--ef22d078-e72a-458f-8a38-38395abd1f39,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--8faedf87-dceb-4c35-b2a2-7286f59a3bc3
relationship--fc1a7e74-1812-4624-9fa2-316d88a17064,course-of-action--402e92cd-5608-4f4b-9a34-a2c962e4bcd7,attack-pattern--8faedf87-dceb-4c35-b2a2-7286f59a3bc3
relationship--8b51066a-0949-431b-ba07-2bbd3f1f04bb,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--8faedf87-dceb-4c35-b2a2-7286f59a3bc3
relationship--06287ae2-325c-448e-8790-3c37492e1c29,course-of-action--cc2399fd-3cd3-4319-8d0a-fbd6420cdaf8,attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c
relationship--be61d80d-2291-4572-960c-dd741534f855,course-of-action--93e7968a-9074-4eac-8ae9-9f5200ec3317,attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c
relationship--3642f351-831b-4c4f-b1d6-4673db4a70a1,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2
relationship--7bae5d92-dcc7-41c7-a116-58e9c9e84401,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2
relationship--5d1cba64-6732-4263-baee-32aa2ab81183,course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2
relationship--b1995330-88c7-4a7f-af0c-05c66670c76a,course-of-action--6cac62ce-550b-4793-8ee6-6a1b8836edb0,attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2
relationship--83202dd1-5822-476d-9fce-b1f77f2dce8f,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36
relationship--cb1a3ef1-db77-4440-8277-62b1dd2f165d,course-of-action--feff9142-e8c2-46f4-842b-bd6fb3d41157,attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36
relationship--17c78374-26ca-40a8-935b-04327c503742,course-of-action--20a2baeb-98c2-4901-bad7-dc62d0a03dea,attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36
relationship--27f8302d-6bd2-4758-8052-b68af4e7c483,course-of-action--6cac62ce-550b-4793-8ee6-6a1b8836edb0,attack-pattern--2bce5b30-7014-4a5d-ade7-12913fe6ac36
relationship--dcc531dd-6136-44ac-963b-3ebab0028d96,course-of-action--609191bf-7d06-40e4-b1f8-9e11eb3ff8a6,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a
relationship--9e7fc18e-06a3-437f-8e3b-18f5378c9d44,course-of-action--987988f0-cf86-4680-a875-2f6456ab2448,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a
relationship--986430e2-0520-4a81-86a7-b7fd7554fcb2,course-of-action--3e7018e9-7389-48e7-9208-0bdbcbba9483,attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a
relationship--c7233017-b610-4b94-9152-3761fd509a7a,course-of-action--34efb2fd-4dc2-40d4-a564-0c147c85034d,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c
relationship--5b421438-02fd-4f24-9e32-d2f4ffe1f1fe,course-of-action--94e95eeb-7cdb-4bd7-afba-f32fda303dbb,attack-pattern--a750a9f6-0bde-4bb3-9aae-1e2786e9780c
relationship--bddba920-d1e4-4553-9696-14d949b53953,course-of-action--5c167af7-c2cb-42c8-ae67-3fb275bf8488,attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611
