"m_ktech_id","tactic_id"
"attack-pattern--b0c74ef9-c61e-4986-88cb-78da98a355ec","TA0001"
"attack-pattern--8187bd2a-866f-4457-9009-86b0ddedffa3","TA0006"
"attack-pattern--800f9819-7007-4540-a520-40e655876800","TA0005"
"attack-pattern--77532a55-c283-4cd2-bc5d-2d0b65e9d88c","TA0005"
"attack-pattern--7bdca9d5-d500-4d7d-8c52-5fd47baf4c0c","TA0005"
"attack-pattern--c3d4bdd9-2cfe-4a80-9d0c-07a29ecdce8f","TA0004"
"attack-pattern--28170e17-8384-415c-8486-2e6b294cb803","TA0005"
"attack-pattern--18cffc21-3260-437e-80e4-4ab8bf2ba5e9","TA0040"
"attack-pattern--4fd8a28b-4b3a-4cd6-a8cf-85ba5f824a7f","TA0003"
"attack-pattern--2acf44aa-542f-4366-b4eb-55ef5747759c","TA0004"
"attack-pattern--f232fa7a-025c-4d43-abc7-318e81a73d65","TA0001"
"attack-pattern--16e94db9-b5b1-4cd0-b851-f38fbd0a70f2","TA0007"
"attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88","TA0007"
"attack-pattern--0470e792-32f8-46b0-a351-652bc35e9336","TA0007"
"attack-pattern--b17a1a56-e99c-403c-8948-561df0cffe81","TA0003"
"attack-pattern--1126cab1-c700-412f-a510-61f4937bb096","TA0003"
"attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88","TA0006"
"attack-pattern--2aed01ad-3df3-4410-a8cb-11ea4ded587c","TA0007"
"attack-pattern--435dfb86-2697-4867-85b5-2fef496c0517","TA0006"
"attack-pattern--fdc47f44-dd32-4b99-af5f-209f556f63c2","TA0001"
"attack-pattern--3aef9463-9a7a-43ba-8957-a867e07c1e6a","TA0005"
"attack-pattern--bd5b58a4-a52d-4a29-bc0d-3f1d3968eb6b","TA0005"
"attack-pattern--0df05477-c572-4ed6-88a9-47c581f548f7","TA0040"
"attack-pattern--6495ae23-3ab4-43c5-a94f-5638a2c31fd2","TA0005"
"attack-pattern--b2d03cea-aec1-45ca-9744-9ee583c1e1cc","TA0006"
"attack-pattern--47f2d673-ca62-47e9-929b-1b0be9657611","TA0005"
